game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2017_04_TEN_HOU,4,TEN,-23.07011655268663,60,-22.326771485735662,40,2017
2017_04_WAS_KC,4,KC,10.231857287363983,94,12.296464454251353,72,2017
2017_04_WAS_KC,4,WAS,3.490660341835948,66,3.4240790252032767,49,2017
2017_05_ARI_PHI,5,ARI,-15.463885862452493,80,-6.830015124506588,60,2017
2017_05_ARI_PHI,5,PHI,14.148107853953066,80,11.232456953801028,62,2017
2017_05_BAL_OAK,5,BAL,8.767779137722536,82,12.378048181473272,62,2017
2017_05_BAL_OAK,5,LV,-10.254677092277078,70,-9.16717508435378,54,2017
2017_05_BUF_CIN,5,BUF,-8.910764680083425,86,-9.547929343779833,67,2017
2017_05_BUF_CIN,5,CIN,-6.920817925098916,82,-2.8662232175707008,60,2017
2017_05_CAR_DET,5,CAR,-2.918369298969513,86,6.986294540590263,61,2017
2017_05_CAR_DET,5,DET,-10.217250515293447,77,-10.315539776592077,56,2017
2017_05_GB_DAL,5,DAL,13.208291983663875,88,10.137725023283837,72,2017
2017_05_GB_DAL,5,GB,19.772874701952865,76,19.763247848529776,59,2017
2017_05_JAX_PIT,5,JAX,4.214377408092647,70,4.882145409827215,53,2017
2017_05_JAX_PIT,5,PIT,-22.871856330137234,94,-22.349750896630674,76,2017
2017_05_KC_HOU,5,HOU,5.241449342252839,81,11.606577371203805,58,2017
2017_05_KC_HOU,5,KC,21.21424827757105,94,20.178088208138092,74,2017
2017_05_LAC_NYG,5,LAC,0.10227086844839395,98,4.414458201768639,71,2017
2017_05_LAC_NYG,5,NYG,-9.73999838721529,91,-5.712775560459588,67,2017
2017_05_MIN_CHI,5,CHI,-9.968247394164141,81,-6.245523047589697,57,2017
2017_05_MIN_CHI,5,MIN,-2.898842315741447,83,-1.8932213246025924,67,2017
2017_05_NE_TB,5,NE,2.0275655231531218,88,1.8493147229349727,66,2017
2017_05_NE_TB,5,TB,-6.4199265693594745,92,-0.8751285267360043,67,2017
2017_05_NYJ_CLE,5,CLE,-9.251094650796247,87,-4.686351580703656,70,2017
2017_05_NYJ_CLE,5,NYJ,-4.2939925001399635,68,-5.689683242615812,48,2017
2017_05_SEA_LA,5,LA,-16.86377576641045,88,-15.224791812986307,70,2017
2017_05_SEA_LA,5,SEA,-8.955039779960693,84,-16.011257710694753,64,2017
2017_05_SF_IND,5,IND,6.2480922583613205,99,1.3250617179679607,71,2017
2017_05_SF_IND,5,SF,5.963384982268945,92,6.435531306384359,70,2017
2017_05_TEN_MIA,5,MIA,-19.84605318435827,77,-21.883828606833106,58,2017
2017_05_TEN_MIA,5,TEN,-25.219039214992712,83,-23.369417026036643,58,2017
2017_06_CHI_BAL,6,BAL,-19.609326588658664,92,-29.28253856782265,71,2017
2017_06_CHI_BAL,6,CHI,-14.92888033807525,102,-9.43222446006958,74,2017
2017_06_CLE_HOU,6,CLE,-20.455821850062893,85,-20.9385279971936,63,2017
2017_06_CLE_HOU,6,HOU,-5.7950573982049285,86,-6.8047051358077795,62,2017
2017_06_DET_NO,6,DET,-28.449584560051445,104,-30.594253315568675,76,2017
2017_06_DET_NO,6,NO,-17.004570247770648,97,-10.269194513347895,67,2017
2017_06_GB_MIN,6,GB,-25.146621797930333,82,-24.31352626454708,65,2017
2017_06_GB_MIN,6,MIN,-10.570419389575953,95,-14.57369859772986,69,2017
2017_06_IND_TEN,6,IND,-0.19758043650547474,76,-5.64410312650201,57,2017
2017_06_IND_TEN,6,TEN,12.980394803702218,86,7.449501423472165,66,2017
2017_06_LAC_OAK,6,LAC,-1.2054057601188353,76,1.835792299631959,63,2017
